feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
volume_profile_hvn_mm30,1d,target_max_drawdown,0.0012982989428564906,0.75,0.0,0.0,0.0,28.0,106.5,0.75,0.6244075829383886
volume_profile_lvn_mm30,1d,target_max_drawdown,0.000265648151980713,0.0,0.0,0.0,0.0,163.0,106.5,0.0,0.3464454976303317
hour_sin_mm30,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
hour_cos_mm30,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
dow_sin_mm30,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
dow_cos_mm30,1d,target_max_drawdown,0.0004691093345172703,0.15,0.0,0.0,0.0,105.0,106.5,0.15,0.43142180094786725
_orig_idx,1d,target_max_drawdown,0.0019075673772022128,0.75,0.0,0.0,0.0,22.0,106.5,0.75,0.6300947867298579
_orig_ts,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
rolling_volatility,1d,target_max_drawdown,0.025563960894942284,1.0,0.0,0.0,0.0,7.0,106.5,1.0,0.6943127962085308
ewmavolatility,1d,target_max_drawdown,0.0032704335171729326,0.8,0.0,0.0,0.0,18.0,106.5,0.8,0.6438862559241706
return_skewness,1d,target_max_drawdown,0.008475211448967457,0.95,0.0,0.0,0.0,9.0,106.5,0.95,0.6824170616113744
tail_bias_norm,1d,target_max_drawdown,0.0009530379320494831,0.55,0.0,0.0,0.0,51.0,106.5,0.55,0.56260663507109
logreturn_pct_rank,1d,target_max_drawdown,0.00027036634855903685,0.0,0.0,0.0,0.0,162.0,106.5,0.0,0.34739336492890993
target_vol_jump_prob,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
target_realized_vol,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
target_breakout_prob,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
oi_mean_oc,1d,target_max_drawdown,0.0034052683040499687,0.75,0.0,0.0,0.0,17.0,106.5,0.75,0.6348341232227488
oi_mean_oc_z,1d,target_max_drawdown,0.000719801988452673,0.15,0.0,0.0,0.0,76.0,106.5,0.15,0.45890995260663503
short_percent_ls_acc_global,1d,target_max_drawdown,0.0005121476715430617,0.1,0.0,0.0,0.0,96.0,106.5,0.1,0.42995260663507107
