feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
taker_sell_volume_usd_z,1d,target_drawdown_prob,0.0036773986648768187,0.0,0.0,0.0,0.0,57.0,124.5,0.0,0.45465587044534417
taker_imbalance_z,1d,target_drawdown_prob,0.0024769280571490526,0.0,0.0,0.0,0.0,90.0,124.5,0.0,0.4279352226720648
taker_buy_sell_imbalance,1d,target_drawdown_prob,0.002434252528473735,0.0,0.0,0.0,0.0,95.0,124.5,0.0,0.4238866396761134
cdri_index_value_futures_cdri,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
interest_rate_borrow_interest_rate_binance,1d,target_drawdown_prob,0.0029122389387339354,0.0,0.0,0.0,0.0,77.0,124.5,0.0,0.4384615384615385
premium_premium_index,1d,target_drawdown_prob,0.0021805583965033293,0.0,0.0,0.0,0.0,102.0,124.5,0.0,0.4182186234817814
altcoin_index_index,1d,target_drawdown_prob,0.03013725019991398,0.0,0.0,0.0,0.0,3.0,124.5,0.0,0.49838056680161946
movcd_bitcoin_bitcoin_reserve_risk,1d,target_drawdown_prob,0.0,0.05,0.0,0.0,0.0,218.5,124.5,0.05,0.3338866396761134
vocd_bitcoin_bitcoin_reserve_risk,1d,target_drawdown_prob,0.0013114515459164977,0.0,0.0,0.0,0.0,135.0,124.5,0.0,0.39149797570850203
ahr999_value_ahr999,1d,target_drawdown_prob,0.0014626521151512861,0.0,0.0,0.0,0.0,126.0,124.5,0.0,0.39878542510121456
active_address_count_bitcoin_active_addresses,1d,target_drawdown_prob,0.0015485076000913978,0.0,0.0,0.0,0.0,122.0,124.5,0.0,0.40202429149797575
new_address_count_bitcoin_new_addresses,1d,target_drawdown_prob,0.0012983218766748905,0.0,0.0,0.0,0.0,136.0,124.5,0.0,0.3906882591093117
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,1d,target_drawdown_prob,0.002086299704387784,0.05,0.0,0.0,0.0,103.0,124.5,0.05,0.42740890688259103
sth_sopr_bitcoin_sth_sopr,1d,target_drawdown_prob,0.0015670079737901688,0.0,0.0,0.0,0.0,121.0,124.5,0.0,0.40283400809716596
lth_sopr_bitcoin_lth_sopr,1d,target_drawdown_prob,0.000818493019323796,0.0,0.0,0.0,0.0,151.0,124.5,0.0,0.3785425101214575
short_term_holder_supply_bitcoin_bitcoin_short_term_holder_supply,1d,target_drawdown_prob,0.0014049006858840585,0.0,0.0,0.0,0.0,129.0,124.5,0.0,0.3963562753036437
rhodl_ratio_bitcoin_bitcoin_rhodl_ratio,1d,target_drawdown_prob,0.002420051721855998,0.0,0.0,0.0,0.0,96.0,124.5,0.0,0.4230769230769231
bitcoin_dominance_bitcoin_bitcoin_dominance,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
global_m2_yoy_growth_bitcoin_bitcoin_vs_global_m2_growth,1d,target_drawdown_prob,0.002700486686080694,0.0,0.0,0.0,0.0,81.0,124.5,0.0,0.4352226720647773
us_m2_yoy_growth_bitcoin_bitcoin_vs_us_m2_growth,1d,target_drawdown_prob,0.003361382521688938,0.0,0.0,0.0,0.0,63.0,124.5,0.0,0.44979757085020244
us_m2_supply_bitcoin_bitcoin_vs_us_m2_growth,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
bubble_index_bitcoin_bubble_index,1d,target_drawdown_prob,0.01768256165087223,0.0,0.0,0.0,0.0,9.0,124.5,0.0,0.49352226720647774
google_trend_percent_bitcoin_bubble_index,1d,target_drawdown_prob,0.008830716833472252,0.05,0.0,0.0,0.0,21.0,124.5,0.05,0.4938056680161944
mining_difficulty_bitcoin_bubble_index,1d,target_drawdown_prob,0.011369411833584309,0.05,0.0,0.0,0.0,12.0,124.5,0.05,0.5010931174089069
transaction_count_bitcoin_bubble_index,1d,target_drawdown_prob,0.0034776045940816402,0.0,0.0,0.0,0.0,62.0,124.5,0.0,0.45060728744939277
address_send_count_bitcoin_bubble_index,1d,target_drawdown_prob,0.004133710637688637,0.0,0.0,0.0,0.0,50.0,124.5,0.0,0.46032388663967616
puell_multiple_puell_multiple,1d,target_drawdown_prob,0.0050000338815152645,0.0,0.0,0.0,0.0,41.0,124.5,0.0,0.4676113360323887
correlation_gld,1d,target_drawdown_prob,0.0018010991625487804,0.0,0.0,0.0,0.0,114.0,124.5,0.0,0.40850202429149796
correlation_iwm,1d,target_drawdown_prob,0.005310975480824709,0.0,0.0,0.0,0.0,38.0,124.5,0.0,0.47004048582995955
correlation_qqq,1d,target_drawdown_prob,0.0009765074355527759,0.0,0.0,0.0,0.0,143.0,124.5,0.0,0.38502024291497977
correlation_tlt,1d,target_drawdown_prob,0.0041158366948366165,0.0,0.0,0.0,0.0,52.0,124.5,0.0,0.4587044534412955
etf_btc_change_usd,1d,target_drawdown_prob,0.002978317439556122,0.0,0.0,0.0,0.0,76.0,124.5,0.0,0.4392712550607287
etf_eth_net_assets_usd,1d,target_drawdown_prob,0.0003026395570486784,0.0,0.0,0.0,0.0,177.0,124.5,0.0,0.35748987854251013
etf_eth_change_usd,1d,target_drawdown_prob,0.0032146356534212828,0.0,0.0,0.0,0.0,68.0,124.5,0.0,0.44574898785425104
funding_rate,1d,target_drawdown_prob,0.0011972018983215094,0.0,0.0,0.0,0.0,138.0,124.5,0.0,0.38906882591093117
basis_z,1d,target_drawdown_prob,0.0,0.0,0.0,0.0,0.0,218.5,124.5,0.0,0.32388663967611336
volume,1d,target_max_drawdown,0.0003524157218635082,0.0,0.0,0.0,0.0,130.0,124.5,0.0,0.39554655870445343
rsi,1d,target_max_drawdown,0.00025915351579897106,0.0,0.0,0.0,0.0,147.0,124.5,0.0,0.38178137651821864
macd_hist,1d,target_max_drawdown,0.00012071456876583397,0.0,0.0,0.0,0.0,182.0,124.5,0.0,0.35344129554655873
kdj_j,1d,target_max_drawdown,8.412192255491391e-05,0.0,0.0,0.0,0.0,193.0,124.5,0.0,0.3445344129554656
momentum,1d,target_max_drawdown,4.738535062642768e-05,0.0,0.0,0.0,0.0,201.0,124.5,0.0,0.3380566801619433
vol_change,1d,target_max_drawdown,0.00031463097548112273,0.0,0.0,0.0,0.0,135.0,124.5,0.0,0.39149797570850203
obv,1d,target_max_drawdown,0.0008741106721572578,0.0,0.0,0.0,0.0,91.0,124.5,0.0,0.4271255060728745
cci,1d,target_max_drawdown,0.0016150586307048798,0.15,0.0,0.0,0.0,61.0,124.5,0.15,0.48141700404858295
adx,1d,target_max_drawdown,0.00020167585171293467,0.0,0.0,0.0,0.0,162.0,124.5,0.0,0.3696356275303644
plus_di,1d,target_max_drawdown,0.0033048910554498434,0.8,0.0,0.0,0.0,33.0,124.5,0.8,0.634089068825911
minus_di,1d,target_max_drawdown,6.174256122903898e-05,0.0,0.0,0.0,0.0,199.0,124.5,0.0,0.3396761133603239
trend_flag,1d,target_max_drawdown,2.8468739401432686e-06,0.0,0.0,0.0,0.0,215.0,124.5,0.0,0.32672064777327936
boll_bandwidth,1d,target_max_drawdown,3.884557736455463e-05,0.0,0.0,0.0,0.0,206.0,124.5,0.0,0.3340080971659919
range_flag,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
high_vol_flag,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
stress_flag,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
donchian_high_20,1d,target_max_drawdown,0.00039128679782152176,0.0,0.0,0.0,0.0,123.0,124.5,0.0,0.4012145748987854
squeeze_on,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
ppo,1d,target_max_drawdown,0.006739623844623566,0.85,0.0,0.0,0.0,16.0,124.5,0.85,0.6578542510121458
tsi,1d,target_max_drawdown,0.0003095114079769701,0.05,0.0,0.0,0.0,139.0,124.5,0.05,0.3982591093117409
cloud_thickness,1d,target_max_drawdown,0.0004788881924469024,0.05,0.0,0.0,0.0,116.0,124.5,0.05,0.4168825910931174
heikin_ashi_trend,1d,target_max_drawdown,9.667777339927852e-05,0.0,0.0,0.0,0.0,190.0,124.5,0.0,0.3469635627530364
ret_skew_30d,1d,target_max_drawdown,0.00022667883604299277,0.0,0.0,0.0,0.0,157.0,124.5,0.0,0.3736842105263158
ret_kurt_30d,1d,target_max_drawdown,0.000949936977121979,0.15,0.0,0.0,0.0,87.0,124.5,0.15,0.46036437246963563
var_95_30d,1d,target_max_drawdown,0.0265993420034647,1.0,0.0,0.0,0.0,5.0,124.5,1.0,0.6967611336032389
cvar_95_30d,1d,target_max_drawdown,0.06233186647295952,1.0,0.0,0.0,0.0,3.0,124.5,1.0,0.6983805668016194
z_score_gap,1d,target_max_drawdown,0.00030989819788374007,0.05,0.0,0.0,0.0,138.0,124.5,0.05,0.3990688259109312
doji_ratio_20,1d,target_max_drawdown,0.0036936537362635136,0.05,0.0,0.0,0.0,30.0,124.5,0.05,0.4865182186234819
hammer_cnt_20,1d,target_max_drawdown,0.0006060120649635792,0.0,0.0,0.0,0.0,107.0,124.5,0.0,0.41417004048583
engulfing_up_cnt_20,1d,target_max_drawdown,0.00015489739598706365,0.05,0.0,0.0,0.0,169.0,124.5,0.05,0.3739676113360324
mfi,1d,target_max_drawdown,0.0031866130884736776,0.75,0.0,0.0,0.0,35.0,124.5,0.75,0.6224696356275304
cmf,1d,target_max_drawdown,0.0010390429524704814,0.2,0.0,0.0,0.0,82.0,124.5,0.2,0.47441295546558704
price_volume_corr_20,1d,target_max_drawdown,0.0019447318045422435,0.4,0.0,0.0,0.0,50.0,124.5,0.4,0.5403238866396761
price_position_ma200,1d,target_max_drawdown,0.006308342795819044,0.45,0.0,0.0,0.0,19.0,124.5,0.45,0.5754251012145749
