feature,reason,value
boll_lower_mm30,coverage,0.02834469202931833
support_level_20_mm30,coverage,0.02834469202931833
resistance_level_20_mm30,coverage,0.02834469202931833
distance_to_support_mm30,coverage,0.02834469202931833
distance_to_resistance_mm30,coverage,0.02834469202931833
volume_mm30,coverage,0.02834469202931833
vol_ma_mm30,coverage,0.02834469202931833
volume_relative_20_mm30,coverage,0.02834469202931833
obv_mm30,coverage,0.02834469202931833
atr_mm30,coverage,0.02834469202931833
amplitude_range_mm30,coverage,0.02834469202931833
atr_slope_mm30,coverage,0.02834469202931833
trendline_slope_20_mm30,coverage,0.02834469202931833
ma_diff_5_20_mm30,coverage,0.02834469202931833
cci_mm30,coverage,0.02834469202931833
adx_scaled_mm30,coverage,0.02834469202931833
vwap_mm30,coverage,0.02834469202931833
obv_diff1_mm30,coverage,0.02834469202931833
obv_pct_mm30,coverage,0.02834469202931833
obv_slope_14_mm30,coverage,0.02834469202931833
trend_flag_mm30,coverage,0.02834469202931833
range_flag_mm30,coverage,0.02834469202931833
high_vol_flag_mm30,coverage,0.02834469202931833
stress_flag_mm30,coverage,0.02834469202931833
donchian_high_20_mm30,coverage,0.02834469202931833
donchian_low_20_mm30,coverage,0.02834469202931833
keltner_upper_20_mm30,coverage,0.02834469202931833
keltner_lower_20_mm30,coverage,0.02834469202931833
squeeze_on_mm30,coverage,0.02834469202931833
ppo_mm30,coverage,0.02834469202931833
stoch_rsi_mm30,coverage,0.02834469202931833
williams_r_mm30,coverage,0.02834469202931833
tsi_mm30,coverage,0.02834469202931833
ichimoku_conv_mm30,coverage,0.02834469202931833
ichimoku_base_mm30,coverage,0.02834469202931833
ichimoku_span_a_mm30,coverage,0.02834469202931833
ichimoku_span_b_mm30,coverage,0.02834469202931833
cloud_thickness_mm30,coverage,0.02834469202931833
psar_mm30,coverage,0.02834469202931833
psar_flip_flag_mm30,coverage,0.02834469202931833
supertrend_10_3_mm30,coverage,0.02834469202931833
heikin_ashi_trend_mm30,coverage,0.02834469202931833
ret_skew_30d_mm30,coverage,0.02834469202931833
ret_kurt_30d_mm30,coverage,0.02834469202931833
var_95_30d_mm30,coverage,0.02834469202931833
cvar_95_30d_mm30,coverage,0.02834469202931833
z_score_gap_mm30,coverage,0.02834469202931833
engulfing_up_cnt_20_mm30,coverage,0.02834469202931833
doji_ratio_20_mm30,coverage,0.02834469202931833
hammer_cnt_20_mm30,coverage,0.02834469202931833
mfi_mm30,coverage,0.02834469202931833
cmf_mm30,coverage,0.02834469202931833
price_volume_corr_20_mm30,coverage,0.02834469202931833
price_position_ma200_mm30,coverage,0.02834469202931833
beta_btc_60d_mm30,coverage,0.02834469202931833
pivot_point_mm30,coverage,0.02834469202931833
distance_to_pivot_mm30,coverage,0.02834469202931833
volume_profile_hvn_mm30,coverage,0.02834469202931833
volume_profile_lvn_mm30,coverage,0.02834469202931833
hour_sin_mm30,coverage,0.02834469202931833
hour_cos_mm30,coverage,0.02834469202931833
dow_sin_mm30,coverage,0.02834469202931833
dow_cos_mm30,coverage,0.02834469202931833
open,corr_cluster,donchian_high_20
high,corr_cluster,donchian_high_20
low,corr_cluster,donchian_high_20
close,corr_cluster,donchian_high_20
ma5,corr_cluster,donchian_high_20
ma20,corr_cluster,donchian_high_20
boll_upper,corr_cluster,donchian_high_20
boll_lower,corr_cluster,donchian_high_20
atr,corr_cluster,donchian_high_20
vwap,corr_cluster,donchian_high_20
donchian_low_20,corr_cluster,donchian_high_20
keltner_upper_20,corr_cluster,donchian_high_20
keltner_lower_20,corr_cluster,donchian_high_20
ichimoku_conv,corr_cluster,donchian_high_20
ichimoku_base,corr_cluster,donchian_high_20
ichimoku_span_a,corr_cluster,donchian_high_20
ichimoku_span_b,corr_cluster,donchian_high_20
psar,corr_cluster,donchian_high_20
supertrend_10_3,corr_cluster,donchian_high_20
ma200,corr_cluster,donchian_high_20
log_close,corr_cluster,donchian_high_20
pivot_point,corr_cluster,donchian_high_20
volume_profile_hvn,corr_cluster,donchian_high_20
volume_profile_lvn,corr_cluster,donchian_high_20
support_level_20,corr_cluster,donchian_high_20
resistance_level_20,corr_cluster,donchian_high_20
amplitude_range,corr_cluster,donchian_high_20
vol_ma,corr_cluster,volume
boll_pctb,corr_cluster,cci
adx_scaled,corr_cluster,adx
trend_flag_mm96,corr_cluster,trend_flag
range_flag_mm96,corr_cluster,range_flag
high_vol_flag_mm96,corr_cluster,high_vol_flag
stress_flag_mm96,corr_cluster,stress_flag
squeeze_on_mm96,corr_cluster,squeeze_on
stoch_rsi_zn96,corr_cluster,stoch_rsi
stoch_rsi_mm96,corr_cluster,stoch_rsi
williams_r_mm96,corr_cluster,williams_r
psar_flip_flag_mm96,corr_cluster,psar_flip_flag
hour_sin_zn96,corr_cluster,hour_sin
hour_sin_mm96,corr_cluster,hour_sin
hour_cos_zn96,corr_cluster,hour_cos
hour_cos_mm96,corr_cluster,hour_cos
pullback_from_high,corr_cluster,distance_to_resistance
volume_relative_20_zn96,corr_cluster,volume_relative_20
volume_zn96,corr_cluster,volume_percentile
range_to_atr,corr_cluster,atr_ratio_range
atr_slope_zn96,corr_cluster,atr_change
open_zn96,corr_cluster,ichimoku_conv_zn96
high_zn96,corr_cluster,ichimoku_conv_zn96
low_zn96,corr_cluster,ichimoku_conv_zn96
close_zn96,corr_cluster,ichimoku_conv_zn96
ma5_zn96,corr_cluster,ichimoku_conv_zn96
pivot_point_zn96,corr_cluster,ichimoku_conv_zn96
ma20_zn96,corr_cluster,keltner_upper_20_zn96
keltner_lower_20_zn96,corr_cluster,keltner_upper_20_zn96
donchian_low_20_zn96,corr_cluster,support_level_20_zn96
donchian_high_20_zn96,corr_cluster,resistance_level_20_zn96
adx_scaled_mm96,corr_cluster,adx_scaled_zn96
tsi_zn96,corr_cluster,ppo_zn96
tsi_mm96,corr_cluster,ppo_zn96
cloud_thickness_mm96,corr_cluster,cloud_thickness_zn96
mfi_mm96,corr_cluster,mfi_zn96
open_mm96,corr_cluster,ma5_mm96
high_mm96,corr_cluster,ma5_mm96
low_mm96,corr_cluster,ma5_mm96
close_mm96,corr_cluster,ma5_mm96
pivot_point_mm96,corr_cluster,ma5_mm96
donchian_low_20_mm96,corr_cluster,support_level_20_mm96
donchian_high_20_mm96,corr_cluster,resistance_level_20_mm96
parkinson_volatility,corr_cluster,rolling_volatility
ma20_mm96,vif,104.99440014310167
ichimoku_conv_mm96,vif,93.91489520255428
keltner_upper_20_mm96,vif,67.24156584300405
ma_diff_5_20_mm96,vif,57.85949506060433
keltner_lower_20_mm96,vif,49.72996249795086
trendline_slope_20_zn96,vif,45.97864356523409
ichimoku_base_mm96,vif,43.48551540826208
ichimoku_conv_zn96,vif,42.00195513922399
boll_upper_mm96,vif,39.66066569532367
vwap_mm96,vif,39.100152551523564
boll_lower_mm96,vif,37.94226238589063
kdj_k,vif,35.752465691465574
keltner_upper_20_zn96,vif,34.8311357991271
stress_flag,vif,33.58437161893411
resistance_level_20_zn96,vif,33.230779679455466
ewmavolatility,vif,32.52929525308525
psar_mm96,vif,30.71928980822889
dow_sin_mm96,vif,29.996983488124833
ma_diff_5_20,vif,28.966966177238405
support_level_20_zn96,vif,27.622096813316002
