feature,coverage,variance,keep,cluster_rep
distance_to_support_mm96,0.7785697227988317,0.07684973715181968,True,distance_to_support_mm96
distance_to_resistance_mm96,0.7785697227988317,0.07410933350772998,True,distance_to_resistance_mm96
volume_mm96,0.7785697227988317,0.03706245238273441,True,volume_mm96
vol_ma_mm96,0.7785697227988317,0.06603693308906261,True,vol_ma_mm96
volume_relative_20_mm96,0.7785697227988317,0.03603861978171296,True,volume_relative_20_mm96
obv_mm96,0.7785697227988317,0.10194163685364478,True,obv_mm96
atr_mm96,0.7785697227988317,0.09270100284233941,True,atr_mm96
amplitude_range_mm96,0.7785697227988317,0.03694525676554322,True,amplitude_range_mm96
atr_slope_mm96,0.7785697227988317,0.02754376958392023,True,atr_slope_mm96
trendline_slope_20_mm96,0.7785697227988317,0.08377609693500473,True,trendline_slope_20_mm96
ma_diff_5_20_mm96,0.7785697227988317,0.07376550599712878,False,ma_diff_5_20_mm96
cci_mm96,0.7785697227988317,0.05192464941040623,True,cci_mm96
adx_scaled_mm96,0.7785697227988317,0.10478593017081293,False,adx_scaled_zn96
vwap_mm96,0.7785697227988317,0.23047122047612292,False,vwap_mm96
obv_diff1_mm96,0.7785697227988317,0.0414997899687667,True,obv_diff1_mm96
obv_pct_mm96,0.7785697227988317,0.04178859140819989,True,obv_pct_mm96
obv_slope_14_mm96,0.7785697227988317,0.0734108421292057,True,obv_slope_14_mm96
trend_flag_mm96,0.7785697227988317,0.2352642271586842,False,trend_flag
range_flag_mm96,0.7785697227988317,0.03991866048698128,False,range_flag
high_vol_flag_mm96,0.7785697227988317,0.010033443833907446,False,high_vol_flag
stress_flag_mm96,0.7785697227988317,0.0010653329852711951,False,stress_flag
donchian_high_20_mm96,0.7785697227988317,0.15459976726761993,False,resistance_level_20_mm96
donchian_low_20_mm96,0.7785697227988317,0.14820763261419362,False,support_level_20_mm96
keltner_upper_20_mm96,0.7785697227988317,0.1602224295913755,False,keltner_upper_20_mm96
keltner_lower_20_mm96,0.7785697227988317,0.15363827604200672,False,keltner_lower_20_mm96
squeeze_on_mm96,0.7785697227988317,0.11945735859858,False,squeeze_on
ppo_mm96,0.7785697227988317,0.1004991210534632,True,ppo_mm96
stoch_rsi_mm96,0.7785697227988317,0.13405728306772688,False,stoch_rsi
williams_r_mm96,0.7785697227988317,0.07965262052314584,False,williams_r
tsi_mm96,0.7785697227988317,0.10111606251331748,False,ppo_zn96
ichimoku_conv_mm96,0.7785697227988317,0.13047670345358772,False,ichimoku_conv_mm96
ichimoku_base_mm96,0.7785697227988317,0.15886037662773486,False,ichimoku_base_mm96
ichimoku_span_a_mm96,0.7785697227988317,0.15052112713658458,True,ichimoku_span_a_mm96
ichimoku_span_b_mm96,0.7785697227988317,0.18262863273776989,True,ichimoku_span_b_mm96
cloud_thickness_mm96,0.7785697227988317,0.11315360122292334,False,cloud_thickness_zn96
psar_mm96,0.7785697227988317,0.09494174172992205,False,psar_mm96
psar_flip_flag_mm96,0.7785697227988317,0.019798013598751486,False,psar_flip_flag
supertrend_10_3_mm96,0.7785697227988317,0.10397918101031511,True,supertrend_10_3_mm96
heikin_ashi_trend_mm96,0.7785697227988317,0.04096634978347459,True,heikin_ashi_trend_mm96
ret_skew_30d_mm96,0.7785697227988317,0.09219973459563566,True,ret_skew_30d_mm96
ret_kurt_30d_mm96,0.7785697227988317,0.08670324382617461,True,ret_kurt_30d_mm96
var_95_30d_mm96,0.7785697227988317,0.11919842085280598,True,var_95_30d_mm96
cvar_95_30d_mm96,0.7785697227988317,0.12870967915170026,True,cvar_95_30d_mm96
z_score_gap_mm96,0.7785697227988317,0.050754458380668395,True,z_score_gap_mm96
engulfing_up_cnt_20_mm96,0.7785697227988317,0.09742560339074718,True,engulfing_up_cnt_20_mm96
doji_ratio_20_mm96,0.7785697227988317,0.09351939051827195,True,doji_ratio_20_mm96
hammer_cnt_20_mm96,0.7785697227988317,0.07648127240091682,True,hammer_cnt_20_mm96
mfi_mm96,0.7785697227988317,0.06911477353777785,False,mfi_zn96
cmf_mm96,0.7785697227988317,0.06365388679489256,True,cmf_mm96
price_volume_corr_20_mm96,0.7785697227988317,0.09354056469864865,True,price_volume_corr_20_mm96
price_position_ma200_mm96,0.7785697227988317,0.10528737472284869,True,price_position_ma200_mm96
beta_btc_60d_mm96,0.7785697227988317,0.17156419183683866,True,beta_btc_60d_mm96
pivot_point_mm96,0.7785697227988317,0.10488402651453627,False,ma5_mm96
distance_to_pivot_mm96,0.7785697227988317,0.036937748208510424,True,distance_to_pivot_mm96
volume_profile_hvn_mm96,0.7785697227988317,0.18606629505070554,True,volume_profile_hvn_mm96
volume_profile_lvn_mm96,0.7785697227988317,0.18903488772353924,True,volume_profile_lvn_mm96
hour_sin_mm96,0.7785697227988317,0.12500352468199816,False,hour_sin
hour_cos_mm96,0.7785697227988317,0.12499762592433175,False,hour_cos
dow_sin_mm96,0.7785697227988317,0.17626706697753633,False,dow_sin_mm96
dow_cos_mm96,0.7785697227988317,0.19082796361370594,True,dow_cos_mm96
_orig_idx,1.0,166072670.83073458,True,_orig_idx
_orig_ts,1.0,1.9235326371852706e+21,True,_orig_ts
rolling_volatility,1.0,7.645941182437967e-05,True,rolling_volatility
parkinson_volatility,1.0,2.8847388543440904e-06,False,rolling_volatility
ewmavolatility,1.0,8.36698760651001e-05,False,ewmavolatility
return_skewness,1.0,1.1750085257327914,True,return_skewness
tail_bias_norm,1.0,0.4511376405085898,True,tail_bias_norm
logreturn_pct_rank,1.0,0.08313238718378231,True,logreturn_pct_rank
